"SSS","Longitude","Latitude"
"AD1_2004__Darvill 1 1",-1.537222,50.953333
"AD1_2004__Darvill 1 2",-1.547421,50.956356
"AD1_2004__Darvill 1 3",-1.554905,50.958809
"AD1_2004__Darvill 1 4",-1.562689,50.961122
"AD1_2004__Darvill 1 5",-1.571283,50.963722
"AD1_2004__Darvill 1 6",-1.578334,50.966006
"AD1_2004__Darvill 1 7",-1.585435,50.968215
"AD1_2004__Darvill 1 8",-1.593048,50.970493
"AD1_2004__Darvill 1 9",-1.600717,50.973455
"AD1_2004__Darvill 1 10",-1.608446,50.975776
"AD1_2004__Darvill 1 11",-1.61624,50.978697
"AD1_2004__Darvill 1 12",-1.623728,50.982033
"AD1_2004__Darvill 1 13",-1.631333,50.985605
"AD1_2004__Darvill 1 14",-1.639307,50.989247
"AD1_2004__Darvill 1 15",-1.646323,50.992476
"AD1_2004__Darvill 1 16",-1.654001,50.995423
"AD1_2004__Darvill 1 17",-1.660833,50.998611
"AD1_2004__Quaranta 1 1",10.4639936027,43.3705969294
"AD1_2004__Quaranta 1 2",10.4429253244,43.415805214
"AD1_2005__Hanley 1 1",-1.4275,50.964167
"AD1_2005__Hanley 1 2",-1.490059,50.84341
"AD1_2005__Hanley 1 3",-1.708976,51.268592
"AD1_2005__Hanley 1 4",-1.4275,50.964167
"AD1_2005__Hanley 1 5",-1.490059,50.84341
"AD1_2005__Hanley 1 6",-1.708976,51.268592
"AD1_2005__Oertli 1 1",7.678774,46.318328
"AD1_2005__Oertli 1 2",7.671231,46.327218
"AD1_2005__Oertli 1 3",7.67412,46.318148
"AD1_2005__Oertli 1 4",7.710055,46.33589
"AD1_2005__Oertli 1 5",7.701907,46.3365
"AD1_2005__Oertli 1 6",7.686683,46.32888
"AD1_2005__Oertli 1 7",7.692834,46.332275
"AD1_2005__Shuler 1 1",-77.868475,38.9573277778
"AD1_2005__Shuler 1 2",-77.784025,38.8356194444
"AD1_2005__Shuler 1 3",-77.6920027778,39.2282694444
"AD1_2005__Shuler 1 4",-77.7215444444,39.1152055556
"AD1_2005__Shuler 1 5",-77.2764083333,39.2789638889
"AD1_2005__Shuler 1 6",-77.8182083333,39.0370444444
"AD1_2005__Shuler 1 7",-77.6034861111,39.2896888889
"AD1_2005__Shuler 1 8",-77.6947777778,39.2003083333
"AD1_2005__Shuler 1 9",-77.7520472222,39.2960444444
"AD1_2005__Shuler 1 10",-77.5736944444,39.2592583333
"AD1_2005__Shuler 1 11",-78.1892277778,39.0471722222
"AD1_2005__Shuler 1 12",-78.2480611111,39.0617888889
"AD1_2005__Shuler 1 13",-77.4349888889,39.1920666667
"AD1_2005__Shuler 1 14",-78.2546583333,39.0914416667
"AD1_2005__Shuler 1 15",-78.2422444444,39.0089361111
"AD1_2005__Shuler 1 16",-77.9397916667,38.8808472222
"AD1_2005__Shuler 1 17",-78.138725,38.5297194444
"AD1_2005__Shuler 1 18",-77.7537555556,39.2519527778
"AD1_2005__Shuler 1 19",-78.322325,39.3114694444
"AD1_2005__Shuler 1 20",-78.2657611111,38.9796027778
"AD1_2005__Shuler 1 21",-78.2492722222,39.1149472222
"AD1_2005__Shuler 1 22",-78.0935222222,38.6160416667
"AD1_2005__Shuler 1 23",-77.9833777778,38.5955666667
"AD1_2005__Shuler 1 24",-77.9253611111,39.2567805556
"AD1_2005__Shuler 1 25",-78.0017333333,38.8026722222
"AD1_2006__Diekoetter 1 1",8.81802303666,50.8210196079
"AD1_2006__Diekoetter 1 2",8.82511848904,50.821030421
"AD1_2006__Diekoetter 1 3",8.81804044542,50.8165250345
"AD1_2006__Diekoetter 1 4",8.82513521674,50.8165358459
"AD1_2006__Diekoetter 1 5",8.84640487116,50.8210602716
"AD1_2006__Diekoetter 1 6",8.85350033961,50.8210693589
"AD1_2006__Diekoetter 1 7",8.84641955567,50.8165656918
"AD1_2006__Diekoetter 1 8",8.85351434305,50.8165747776
"AD1_2006__Diekoetter 1 9",8.87478676574,50.8210940318
"AD1_2006__Diekoetter 1 10",8.88188224746,50.8211013932
"AD1_2006__Diekoetter 1 11",8.87479872597,50.8165994466
"AD1_2006__Diekoetter 1 12",8.88189352663,50.8166068068
"AD1_2006__Diekoetter 1 13",8.83224603487,50.8120516457
"AD1_2006__Diekoetter 1 14",8.83934013368,50.8120615928
"AD1_2006__Diekoetter 1 15",8.8322620733,50.807557062
"AD1_2006__Diekoetter 1 16",8.83935549139,50.8075670075
"AD1_2006__Diekoetter 1 17",8.86062245298,50.8120888459
"AD1_2006__Diekoetter 1 18",8.86771656645,50.8120970676
"AD1_2006__Diekoetter 1 19",8.86063576854,50.8075942563
"AD1_2006__Diekoetter 1 20",8.86772920129,50.8076024767
"AD1_2006__Diekoetter 1 21",8.88899892555,50.8121191446
"AD1_2006__Diekoetter 1 22",8.8960930509,50.812125641
"AD1_2006__Diekoetter 1 23",8.88900951823,50.8076245502
"AD1_2006__Diekoetter 1 24",8.89610296285,50.8076310455
"AD1_2006__Diekoetter 1 25",8.81809264498,50.8030412935
"AD1_2006__Diekoetter 1 26",8.82518537417,50.8030520997
"AD1_2006__Diekoetter 1 27",8.81811003594,50.7985467062
"AD1_2006__Diekoetter 1 28",8.82520208477,50.7985575107
"AD1_2006__Diekoetter 1 29",8.84646358666,50.8030819314
"AD1_2006__Diekoetter 1 30",8.85355633189,50.8030910129
"AD1_2006__Diekoetter 1 31",8.84647825616,50.7985873376
"AD1_2006__Diekoetter 1 32",8.85357032102,50.7985964177
"AD1_2006__Diekoetter 1 33",8.87483458834,50.8031156701
"AD1_2006__Diekoetter 1 34",8.88192734683,50.8031230268
"AD1_2006__Diekoetter 1 35",8.87484653636,50.798621071
"AD1_2006__Diekoetter 1 36",8.88193861447,50.7986284265
"AD1_2006__Diekoetter 1 37",8.83231016399,50.79407329
"AD1_2006__Diekoetter 1 38",8.83940154099,50.7940832307
"AD1_2006__Diekoetter 1 39",8.83232618603,50.7895786924
"AD1_2006__Diekoetter 1 40",8.83941688301,50.7895886315
"AD1_2006__Diekoetter 1 41",8.86067569482,50.7941104665
"AD1_2006__Diekoetter 1 42",8.86776708646,50.794118683
"AD1_2006__Diekoetter 1 43",8.86068899678,50.789615863
"AD1_2006__Diekoetter 1 44",8.86777970839,50.7896240782
"AD1_2006__Diekoetter 1 45",8.88904128003,50.7941407461
"AD1_2006__Diekoetter 1 46",8.89613268353,50.7941472383
"AD1_2006__Diekoetter 1 47",8.88905186189,50.7896461377
"AD1_2006__Diekoetter 1 48",8.89614258536,50.7896526289
"AD1_2006__Diekoetter 1 49",8.81816218216,50.7850629234
"AD1_2006__Diekoetter 1 50",8.82525219094,50.7850737228
"AD1_2006__Diekoetter 1 51",8.81817955536,50.7805683222
"AD1_2006__Diekoetter 1 52",8.82526888446,50.7805791199
"AD1_2006__Diekoetter 1 53",8.84652224217,50.7851035355
